Line,StopName,Lon,Lat
K,Chelten Av & Musgrave St,-75.167211,40.043086
K,Chelten Av & McMahon St,-75.166107,40.044173
K,Chelten Av & Chew Av,-75.164837,40.045366
K,Chelten Av & Boyer St,-75.163188,40.046978
K,Chelten Av & Sprague St,-75.161669,40.048457
K,Chelten Av & Ardleigh St,-75.160529,40.049561
K,Chelten Av & Anderson St,-75.159058,40.051004
K,Chelten Av & Wister St,-75.158179,40.051858
K,Wyncote Av & 65th Av,-75.156685,40.053123
K,Wyncote Av & Stenton Av,-75.15557,40.053977
K,Wyncote Av & 66th Av,-75.154514,40.054796
K,66th Av & Limekiln Pk,-75.152811,40.054765
K,66th Av & 20th St,-75.151381,40.054682
K,66th Av & Ogontz Av,-75.149891,40.054598
K,66th Av & 18th St,-75.148,40.05438
K,66th Av & 17th St,-75.146439,40.054171
K,66th Av & 16th St,-75.144856,40.053962
K,66th Av & 15th St,-75.143284,40.053762
K,66th Av & Old York Rd,-75.141972,40.05359
K,66th Av & Broad St - FS,-75.141239,40.05349
K,66th Av & 13th St,-75.139442,40.053263
K,66th Av & 12th St,-75.13787,40.053063
K,66th Av & 11th St,-75.136783,40.052926
K,66th Av & Lawnton Av,-75.135376,40.052744
K,66th Av & 10th St,-75.133923,40.052554
K,66th Av & 8th St,-75.131972,40.052299
K,66th Av & 7th St,-75.130873,40.052163
K,66th Av & 6th St,-75.129207,40.051944
K,66th Av & 5th St,-75.127268,40.05169
K,5th St & 65th Av,-75.127546,40.050289
K,5th St & 64th Av,-75.127835,40.049005
K,5th St & Chelten Av,-75.128221,40.047265
K,Godfrey Av & 5th St - FS,-75.128228,40.045543
K,Godfrey Av & 4th St,-75.126739,40.045343
K,Godfrey Av & 3rd St,-75.125711,40.045215
K,Godfrey Av & 2nd St,-75.123655,40.04496
K,Godfrey Av & Front St,-75.119684,40.044442
K,Front St & Spencer St,-75.119856,40.043023
K,Champlost Av & Front St - FS,-75.119544,40.041282
K,Champlost Av & Ella St,-75.117819,40.041072
