number_of_bathrooms,number_of_bedrooms,total_livable_area,total_area,sale_price,sale_date,central_air,year_built,shape,location,log_sale_price
1,3,1284,1350,200000,2024-11-25T05:00:00Z,N,1929,SRID=2272;POINT(2694706.23802644 279086.36700574),7541 BRIAR RD,12.206072645530174
1,3,1272,898,136000,2024-11-29T05:00:00Z,NA,1935,SRID=2272;POINT(2715123.68876603 259289.05157517),1653 ORTHODOX ST,11.820410164718188
1,2,975,1120,175000,2024-01-24T05:00:00Z,N,1920,SRID=2272;POINT(2728133.97307886 264419.257533096),7124 EDMUND ST,12.072541252905651
1,3,952,656,50000,2024-12-03T05:00:00Z,NA,1915,SRID=2272;POINT(2690059.9650177 252574.409074843),2617 W SELTZER ST,10.819778284410283
2,2,960,3601,340000,2024-12-17T05:00:00Z,Y,1967,SRID=2272;POINT(2740793.90712021 282098.596027924),3399 S KESWICK RD,12.736700896592344
1,3,1058,735,125000,2024-12-31T05:00:00Z,NA,1925,SRID=2272;POINT(2686225.8299136 229100.552187132),1540 S ETTING ST,11.736069016284437
3,3,1128,7230,405000,2024-12-27T05:00:00Z,Y,1959,SRID=2272;POINT(2727409.46293559 291416.644171481),1139 MEDWAY RD,12.911642346088676
0,0,2217,2477,165000,2024-12-18T05:00:00Z,NA,1920,SRID=2272;POINT(2690549.05873132 262804.664465478),5128 NEWHALL ST,12.013700752882718
1,3,1014,832,23500,2024-01-09T05:00:00Z,NA,1925,SRID=2272;POINT(2687323.19309458 246024.218840253),3020 REDNER ST,10.06475570013225
1,3,840,1125,50000,2024-12-20T05:00:00Z,NA,1940,SRID=2272;POINT(2705818.52951201 261765.168707589),437 E MENTOR ST,10.819778284410283
1,3,936,1158,124000,2024-11-25T05:00:00Z,Y,1925,SRID=2272;POINT(2708685.71414653 258972.99445175),4326 PALMETTO ST,11.728036844587175
0,0,1872,1114,300000,2024-01-14T05:00:00Z,NA,1915,SRID=2272;POINT(2699060.33651735 244162.033623123),1503 N LAWRENCE ST,12.611537753638338
1,3,1204,1215,235000,2024-12-17T05:00:00Z,N,1950,SRID=2272;POINT(2728936.71599871 266754.171718087),4505 BLEIGH AVE,12.367340793126296
1,2,715,530,175000,2024-12-07T05:00:00Z,Y,1920,SRID=2272;POINT(2701269.4624846 246063.876179189),1905 WATERLOO ST,12.072541252905651
2,3,1152,1600,236000,2024-12-03T05:00:00Z,N,1965,SRID=2272;POINT(2706269.82040498 271501.595898275),206 E CHELTENHAM AVE,12.371587084007746
1,4,2000,3176,241500,2024-12-30T05:00:00Z,NA,1959,SRID=2272;POINT(2728893.17913941 276554.956974522),2712 MOWER ST,12.394624752074764
3,3,1867,1680,450000,2024-12-20T05:00:00Z,Y,2012,SRID=2272;POINT(2672207.05892365 274302.466895634),646 KEELY CT,13.017002861746503
1,2,986,6136,225000,2024-12-19T05:00:00Z,N,1925,SRID=2272;POINT(2694697.34679093 274312.8219141),2080 HAINES ST,12.323855681186558
1,3,882,630,30000,2024-12-30T05:00:00Z,N,1940,SRID=2272;POINT(2693493.71089261 253003.825650096),2924 N 19TH ST,10.308952660644293
1,3,1046,1050,52850,2024-10-24T04:00:00Z,NA,1940,SRID=2272;POINT(2680710.29335626 231511.524748204),4750 PASCHALL AVE,10.875212991298383
2,3,1105,2500,320000,2024-12-06T05:00:00Z,Y,1975,SRID=2272;POINT(2739533.18329369 273177.565773449),9321 EDMUND ST,12.676076274775909
1,3,1180,1504,200000,2024-12-31T05:00:00Z,NA,1947,SRID=2272;POINT(2702398.96647461 268232.773804245),5815 N LAWRENCE ST,12.206072645530174
3,4,2016,7625,465000,2024-12-31T05:00:00Z,Y,1965,SRID=2272;POINT(2734520.19811205 297246.471073101),12010 SEWELL RD,13.049792684569493
1,3,1088,3168,237000,2024-12-17T05:00:00Z,Y,1950,SRID=2272;POINT(2689135.18433492 273312.081157543),6465 BELFIELD AVE,12.375815420117268
